State,NAICS,Meaning,Year,Value_D,"Relative standard error for estimate of sales, value of shipments, or revenue (%)",Payroll_D,Relative standard error for estimate of annual payroll (%),FirstQuarter,Relative standard error for estimate of first-quarter payroll (%),Employees_C,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),HoursAnum_T,Relative standard error for estimate of production workers annual hours (%),WagesAnum_D,Relative standard error for estimate of production workers annual wages (%),MaterialCost_D,Relative standard error for estimate of total cost of materials  (%),ValueAdded_D,Relative standard error for estimate of value added (%),ConstantCapital_D,Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Alabama,3251,Basic chemical manufacturing,2021,"4,615,421",1.5,"366,859",0.6,"96,712",0.6,"3,626",1.3,"2,163",1.2,"4,412",1.2,"209,802",1.8,"2,411,076",0.4,"2,262,181",2.9,"170,557",10.6,40% to less than 50%,30% to less than 40%,30% to less than 40%
Alaska,3251,Basic chemical manufacturing,2021,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,Less than 10%,Less than 10%,Less than 10%
Arizona,3251,Basic chemical manufacturing,2021,"231,978",37.5,"24,394 (s)",48.0,"5,066 (s)",89.1,392 (s),46.0,331,38.6,551 (s),46.2,"16,938 (s)",44.4,D,D,"158,316",32.7,D,D,80% to less than 90%,20% to less than 30%,60% to less than 70%
Arkansas,3251,Basic chemical manufacturing,2021,"1,671,282",9.8,"149,807",2.3,"37,270",1.9,"1,931",1.4,"1,292",0.5,"2,614",2.1,"88,775",1.6,"789,149",2.2,"874,426",15.8,"115,069",0.0,30% to less than 40%,Less than 10%,10% to less than 20%
California,3251,Basic chemical manufacturing,2021,"6,822,738",2.5,"659,306",2.1,"171,443",2.8,"6,964",1.8,"4,367",2.3,"8,755",3.1,"350,572",1.3,"3,305,017",1.4,"3,567,511",5.0,"195,249",10.3,30% to less than 40%,60% to less than 70%,40% to less than 50%
Colorado,3251,Basic chemical manufacturing,2021,"1,762,492",0.7,"61,005",0.8,"16,103",0.8,730,3.2,559,3.8,"1,081",3.9,"42,099",1.7,"1,472,674",0.2,D,D,"84,487",1.6,20% to less than 30%,50% to less than 60%,70% to less than 80%
Connecticut,3251,Basic chemical manufacturing,2021,"601,453",0.0,"92,698",0.0,"23,175",0.0,942,0.0,526,0.0,998,0.0,"43,382",0.0,"279,308",0.0,"333,108",0.0,"15,079",0.0,30% to less than 40%,50% to less than 60%,40% to less than 50%
Delaware,3251,Basic chemical manufacturing,2021,"367,193",0.0,"48,313",0.0,"12,189",0.0,597,0.0,379,0.0,798,0.0,"24,544",0.0,"162,796",0.0,"203,543",0.0,"17,811",0.0,70% to less than 80%,80% to less than 90%,70% to less than 80%
Florida,3251,Basic chemical manufacturing,2021,"1,476,056",0.8,"137,790",4.0,"32,972",3.8,"1,999",4.4,"1,259",6.3,"2,493",1.8,"82,853",6.0,"788,843",5.6,"696,997",4.9,"38,403",10.2,80% to less than 90%,50% to less than 60%,40% to less than 50%
Georgia,3251,Basic chemical manufacturing,2021,"2,565,885",1.8,"261,914",1.2,"65,863",1.5,"3,074",1.1,"1,931",1.5,"3,964",0.8,"143,146",1.7,"1,302,490",1.1,"1,282,691",4.1,"69,039",2.8,50% to less than 60%,30% to less than 40%,50% to less than 60%
Hawaii,3251,Basic chemical manufacturing,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Idaho,3251,Basic chemical manufacturing,2021,"374,089",0.0,"47,303",0.0,"11,466",0.0,530,0.0,430,0.0,840,0.0,"31,306",0.0,"268,112",0.0,"189,369",0.0,D,D,Less than 10%,80% to less than 90%,10% to less than 20%
Illinois,3251,Basic chemical manufacturing,2021,"11,918,934",0.6,"503,267",0.5,"128,455",0.3,"5,770",0.9,"3,859",0.9,"8,161",0.6,"304,613",2.1,"7,327,610",0.8,"4,740,735",1.4,"230,819",1.2,10% to less than 20%,20% to less than 30%,30% to less than 40%
Indiana,3251,Basic chemical manufacturing,2021,"5,153,573",0.9,"181,713",4.1,"46,202",3.8,"2,270",3.9,"1,601",4.0,"3,008",4.3,"112,792",5.1,"3,473,338",0.5,"1,743,255",2.5,"220,746",4.1,Less than 10%,Less than 10%,20% to less than 30%
Iowa,3251,Basic chemical manufacturing,2021,"14,418,040",1.6,"286,730",1.4,"71,812",2.0,"3,908",1.2,"2,564",0.6,"4,997",1.2,"162,711",1.0,"10,370,772",2.4,"4,185,492",2.4,"238,733",4.0,10% to less than 20%,20% to less than 30%,10% to less than 20%
Kansas,3251,Basic chemical manufacturing,2021,"3,077,332",8.9,"154,026",8.0,"46,513",4.6,"1,770",10.1,"1,256",11.3,"2,472",11.6,"82,329",10.7,"1,607,521",3.7,"1,479,972",17.9,"336,642",2.4,Less than 10%,10% to less than 20%,10% to less than 20%
Kentucky,3251,Basic chemical manufacturing,2021,"3,797,821",5.2,"304,119",6.3,"72,498",6.1,"3,384",5.3,"2,431",3.7,"4,713",4.0,"197,076",5.4,"1,834,490",9.3,"1,996,476",3.0,"289,953",3.7,30% to less than 40%,40% to less than 50%,40% to less than 50%
Louisiana,3251,Basic chemical manufacturing,2021,"35,100,981",0.1,"1,406,705",0.3,"376,753",0.6,"11,887",1.1,"7,490",1.6,"16,758",0.4,"833,545",0.5,"16,094,608",0.2,"19,391,153",0.3,"2,398,106",0.9,20% to less than 30%,40% to less than 50%,50% to less than 60%
Maine,3251,Basic chemical manufacturing,2021,"83,944",0.0,"8,528",0.0,"2,101",0.0,20 to 99 employees,D,D,D,D,D,D,D,D,D,"57,703",0.0,"1,101",0.0,40% to less than 50%,Less than 10%,D
Maryland,3251,Basic chemical manufacturing,2021,"1,006,745",3.4,"130,377",5.2,"32,734",6.4,"1,325",5.0,985,3.9,"2,156",3.6,"89,252",3.4,"506,520",2.2,"503,655",4.4,"29,729",4.6,50% to less than 60%,40% to less than 50%,50% to less than 60%
Massachusetts,3251,Basic chemical manufacturing,2021,"1,496,767",0.6,"198,453",0.4,"49,853",3.3,"1,512",1.2,784,0.5,"1,644",0.3,"72,741",0.4,"648,996",0.7,"865,993",0.6,"33,178",7.0,70% to less than 80%,80% to less than 90%,80% to less than 90%
Michigan,3251,Basic chemical manufacturing,2021,"2,938,114",2.6,"264,328",2.5,"66,552",1.8,"3,240",2.4,"1,968",4.4,"3,997",4.1,"142,699",4.1,"1,341,826",2.9,"1,592,289",2.9,"122,335 (s)",60.2,10% to less than 20%,60% to less than 70%,70% to less than 80%
Minnesota,3251,Basic chemical manufacturing,2021,"3,594,107",0.0,"97,496",0.0,"23,030",0.0,"1,289",0.0,990,0.0,"2,006",0.0,"71,675",0.0,"2,750,106",0.0,"878,907",0.0,"59,257",0.0,10% to less than 20%,20% to less than 30%,40% to less than 50%
Mississippi,3251,Basic chemical manufacturing,2021,"1,624,310",0.0,"125,164",0.0,"31,742",0.0,"1,632",0.0,"1,126",0.0,"2,386",0.0,"84,366",0.0,"936,698",0.0,D,D,"80,975",0.0,20% to less than 30%,10% to less than 20%,90% to 100%
Missouri,3251,Basic chemical manufacturing,2021,"1,985,392",3.9,"205,819",7.8,"49,687",8.1,"2,844",8.5,"2,267",8.9,"4,533",10.1,"139,150",7.2,"1,208,291",3.0,"806,600",5.5,"82,754",7.0,30% to less than 40%,50% to less than 60%,50% to less than 60%
Montana,3251,Basic chemical manufacturing,2021,D,D,D,D,D,D,20 to 99 employees,D,29,0.0,D,D,D,D,D,D,D,D,D,D,D,D,D
Nebraska,3251,Basic chemical manufacturing,2021,"6,768,635",2.8,"153,640",2.6,"39,876",2.7,"1,891",4.1,"1,447",5.2,"3,065",3.0,"107,076",3.7,"4,150,816",6.1,"2,646,279",2.4,"136,031",0.7,10% to less than 20%,50% to less than 60%,30% to less than 40%
Nevada,3251,Basic chemical manufacturing,2021,"445,011",0.0,"45,948",0.0,"11,197",0.0,599,0.0,392,0.0,747,0.0,"28,634",0.0,"207,394",0.0,"244,978",0.0,D,D,30% to less than 40%,40% to less than 50%,50% to less than 60%
New Hampshire,3251,Basic chemical manufacturing,2021,"89,959",0.0,"11,771",0.0,"2,944",0.0,100 to 249 employees,D,D,D,D,D,"5,342",0.0,D,D,"51,673",0.0,D,D,90% to 100%,10% to less than 20%,D
New Jersey,3251,Basic chemical manufacturing,2021,"5,858,710",1.8,"642,302",1.3,"164,193",2.1,"5,423",1.7,"3,173",2.0,"7,232",1.5,"317,665",1.7,"2,695,674",2.2,"3,122,041",1.8,"141,063",0.4,30% to less than 40%,60% to less than 70%,50% to less than 60%
New Mexico,3251,Basic chemical manufacturing,2021,"644,374",0.0,"72,616",0.0,"18,182",0.0,773,0.0,550,0.0,"1,177",0.0,"45,256",0.0,D,D,"538,049",0.0,D,D,90% to 100%,90% to 100%,50% to less than 60%
New York,3251,Basic chemical manufacturing,2021,"2,826,153",0.9,"376,917",0.3,"94,971",0.3,"4,142",0.4,"2,876",0.1,"5,076",0.1,"210,505",0.2,"1,403,439",0.3,D,D,"102,175",0.3,40% to less than 50%,50% to less than 60%,40% to less than 50%
North Carolina,3251,Basic chemical manufacturing,2021,"2,988,441",3.4,"323,501",3.3,"84,952",0.6,"4,051",1.5,"1,962",1.1,"4,051",2.6,"133,891",3.5,"1,232,825",5.1,"1,785,724",2.2,"71,290",3.7,30% to less than 40%,50% to less than 60%,30% to less than 40%
North Dakota,3251,Basic chemical manufacturing,2021,D,D,D,D,D,D,250 to 499 employees,D,D,D,D,D,D,D,D,D,"217,663",0.0,D,D,D,D,D
Ohio,3251,Basic chemical manufacturing,2021,"6,851,148",2.7,"496,360",6.6,"124,906",6.4,"6,546",7.0,"4,584",7.3,"8,764",6.1,"289,964",6.1,"4,072,639",2.7,"2,836,007",6.7,"306,772",7.8,30% to less than 40%,40% to less than 50%,50% to less than 60%
Oklahoma,3251,Basic chemical manufacturing,2021,"497,091",1.0,"75,585",2.5,"20,484",2.3,948,1.8,629,2.0,"1,237",0.4,"48,451",2.8,"213,503",0.3,"280,874",2.0,"78,766",0.0,30% to less than 40%,20% to less than 30%,60% to less than 70%
Oregon,3251,Basic chemical manufacturing,2021,"524,674",5.7,"57,557",3.9,"14,988",2.8,666,6.7,474,6.9,948,6.3,"36,288",4.5,"222,761",10.0,"315,094",9.3,"10,458",6.5,70% to less than 80%,60% to less than 70%,80% to less than 90%
Pennsylvania,3251,Basic chemical manufacturing,2021,"2,823,946",7.7,"352,929",9.0,"88,895",9.8,"4,101",6.8,"2,539",6.2,"4,841",7.3,"171,267",4.9,"1,257,583",6.5,"1,572,246",11.9,"174,169",31.3,20% to less than 30%,20% to less than 30%,30% to less than 40%
Rhode Island,3251,Basic chemical manufacturing,2021,"100,191",0.0,"13,177",0.0,"3,261",0.0,100 to 249 employees,D,D,D,D,D,D,D,"55,661",0.0,D,D,"2,400",0.0,30% to less than 40%,Less than 10%,D
South Carolina,3251,Basic chemical manufacturing,2021,"4,303,765",0.2,"340,136",0.4,"86,483",0.5,"4,054",0.4,"2,613",0.4,"5,376",0.5,"179,026",0.4,"2,463,151",0.3,"1,902,058",0.2,"125,883",0.6,40% to less than 50%,50% to less than 60%,30% to less than 40%
South Dakota,3251,Basic chemical manufacturing,2021,"3,493,870",0.0,"53,683",0.0,"12,838",0.0,706,0.0,602,0.0,"1,251",0.0,"43,940",0.0,"2,722,626",0.0,"812,838",0.0,"41,968",0.0,30% to less than 40%,30% to less than 40%,40% to less than 50%
Tennessee,3251,Basic chemical manufacturing,2021,"6,684,839",3.4,"1,008,019",1.0,"252,215",1.1,"12,243",1.2,"6,106",2.7,"12,588",1.9,"558,359",2.8,"2,782,938",8.1,"3,981,094",0.9,"270,795",7.2,50% to less than 60%,70% to less than 80%,70% to less than 80%
Texas,3251,Basic chemical manufacturing,2021,"89,532,054",0.4,"3,148,921",1.1,"819,315",0.9,"27,004",1.6,"17,268",2.1,"37,523",1.4,"1,861,229",1.6,"43,393,976",0.3,"47,404,945",1.4,"3,114,670",2.6,10% to less than 20%,40% to less than 50%,40% to less than 50%
Utah,3251,Basic chemical manufacturing,2021,"310,689",0.0,"39,656",0.0,"9,788",0.0,452,0.0,280,0.0,596,0.0,"17,834",0.0,D,D,"177,918",0.0,"9,748",0.0,10% to less than 20%,Less than 10%,10% to less than 20%
Vermont,3251,Basic chemical manufacturing,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Virginia,3251,Basic chemical manufacturing,2021,"1,072,087",3.7,"143,615",5.0,"35,115",6.5,"1,563",8.0,"1,121",6.7,"2,345",4.7,"81,459",2.9,"504,433",1.8,"585,647",5.6,"49,218 (s)",46.1,80% to less than 90%,80% to less than 90%,70% to less than 80%
Washington,3251,Basic chemical manufacturing,2021,"1,611,068",3.2,"205,928",2.1,"50,106",2.2,"2,049",3.0,907,5.5,"1,906",6.8,"81,242",3.2,"809,311",3.5,D,D,"58,581",2.2,20% to less than 30%,40% to less than 50%,50% to less than 60%
West Virginia,3251,Basic chemical manufacturing,2021,"1,987,998",3.4,"194,491",7.5,"48,999",8.5,"1,808",14.3,"1,103",21.3,"2,433",15.3,"106,384",12.6,"803,845",5.1,"1,256,233",2.2,"117,013",6.9,40% to less than 50%,50% to less than 60%,70% to less than 80%
Wisconsin,3251,Basic chemical manufacturing,2021,"3,696,230",0.7,"155,933",0.3,"38,492",0.3,"2,477",0.4,"1,782",0.2,"3,555",0.2,"92,392",0.1,"2,643,202",0.2,"1,119,539",2.8,"63,670",1.1,40% to less than 50%,40% to less than 50%,60% to less than 70%
Wyoming,3251,Basic chemical manufacturing,2021,"1,203,209",0.0,"195,567",0.0,"47,458",0.0,"1,644",0.0,"1,257",0.0,"2,729",0.0,"142,314",0.0,D,D,"786,978",0.0,D,D,Less than 10%,70% to less than 80%,Less than 10%
