State,NAICS,Meaning,Year,Value_D,"Relative standard error for estimate of sales, value of shipments, or revenue (%)",Payroll_D,Relative standard error for estimate of annual payroll (%),FirstQuarter,Relative standard error for estimate of first-quarter payroll (%),Employees_C,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),HoursAnum_T,Relative standard error for estimate of production workers annual hours (%),WagesAnum_D,Relative standard error for estimate of production workers annual wages (%),MaterialCost_D,Relative standard error for estimate of total cost of materials  (%),ValueAdded_D,Relative standard error for estimate of value added (%),ConstantCapital_D,Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Alabama,313,Textile mills,2021,"511,467",0.0,"70,457",0.0,"17,190",0.0,"1,587",0.0,"1,330",0.0,"2,672",0.0,"51,904",0.0,"316,573",0.0,"204,082",0.0,"10,156",0.0,40% to less than 50%,10% to less than 20%,20% to less than 30%
Alabama,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,500 to 999 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Alabama,3132,Fabric mills,2021,"255,283",0.0,"44,963",0.0,"11,009",0.0,"1,010",0.0,794,0.0,"1,602",0.0,"30,132",0.0,"142,042",0.0,D,D,"8,705",0.0,20% to less than 30%,30% to less than 40%,30% to less than 40%
Alabama,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Alabama,314,Textile product mills,2021,"962,260",5.9,"171,143",8.1,"38,894",5.4,"4,002",5.7,"3,283",7.1,"6,685",6.7,"117,432",6.5,"531,796",5.5,"442,189",6.8,"26,722",35.3,50% to less than 60%,20% to less than 30%,20% to less than 30%
Alabama,3141,Textile furnishings mills,2021,"582,421",9.0,"110,323",8.9,"26,086",5.7,"2,808",6.4,"2,343",5.3,"4,503",10.0,"75,773",8.5,"295,727",9.2,"302,979",9.3,"24,616",38.2,40% to less than 50%,10% to less than 20%,10% to less than 20%
Alabama,3149,Other textile product mills,2021,"379,839",6.0,"60,821",16.0,"12,808",11.3,"1,194",11.8,940,21.0,"2,182",1.1,"41,659",10.0,"236,069",4.4,"139,210",7.6,"2,106",26.6,60% to less than 70%,30% to less than 40%,40% to less than 50%
Alabama,3314,Nonferrous metal (except aluminum) production and processing,2021,"2,603,316",0.0,"140,199",0.0,"33,850",0.0,"2,752",0.0,"2,290",0.0,"4,623",0.0,"99,492",0.0,"1,384,265",0.0,"1,253,550",0.0,D,D,50% to less than 60%,10% to less than 20%,20% to less than 30%
Alaska,313,Textile mills,2021,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,Less than 10%,Less than 10%,Less than 10%
Alaska,3131,"Fiber, yarn, and thread mills",2021,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,Less than 10%,Less than 10%,Less than 10%
Alaska,314,Textile product mills,2021,D,D,"2,160",0.0,541,0.0,43,0.0,37,0.0,68,0.0,"1,316",0.0,D,D,D,D,D,D,D,40% to less than 50%,90% to 100%
Alaska,3149,Other textile product mills,2021,D,D,"2,160",0.0,541,0.0,43,0.0,37,0.0,68,0.0,"1,316",0.0,D,D,D,D,D,D,D,40% to less than 50%,90% to 100%
Alaska,3314,Nonferrous metal (except aluminum) production and processing,2021,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,Less than 10%,Less than 10%,Less than 10%
Arizona,313,Textile mills,2021,"215,245",0.0,"20,007",0.0,"4,486",0.0,386,0.0,345,0.0,730,0.0,"16,964",0.0,"140,158",0.0,D,D,"1,613",0.0,10% to less than 20%,Less than 10%,20% to less than 30%
Arizona,3131,"Fiber, yarn, and thread mills",2021,D,D,D,D,D,D,250 to 499 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Arizona,3132,Fabric mills,2021,D,D,"3,533",0.0,D,D,20 to 99 employees,D,51,0.0,78,0.0,"2,666",0.0,D,D,D,D,806,0.0,D,Less than 10%,D
Arizona,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,478,0.0,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Arizona,314,Textile product mills,2021,"176,388",33.2,"29,135",35.5,"7,109",34.7,920,23.7,724,23.0,"1,073 (s)",40.6,"19,332",36.6,"69,520 (s)",52.4,"114,790",20.3,"1,485",0.0,10% to less than 20%,Less than 10%,70% to less than 80%
Arizona,3141,Textile furnishings mills,2021,"57,642",12.1,"9,887",19.1,"2,134",10.4,342,14.9,284,15.1,465,26.8,"7,695",29.3,"29,150",13.4,"27,977",7.4,77,0.0,50% to less than 60%,10% to less than 20%,30% to less than 40%
Arizona,3149,Other textile product mills,2021,"118,747 (s)",49.0,"19,248 (s)",52.8,"4,975 (s)",49.4,578,36.7,441,36.6,608 (s),68.7,"11,637 (s)",57.6,"40,370 (s)",89.7,"86,813",26.7,"1,408",0.0,10% to less than 20%,Less than 10%,90% to 100%
Arizona,3314,Nonferrous metal (except aluminum) production and processing,2021,"1,234,587",0.0,"47,480",0.0,"11,841",0.0,770,0.0,618,0.0,"1,251",0.0,"35,217",0.0,"322,441",0.0,"921,895",0.0,"8,292",0.0,80% to less than 90%,10% to less than 20%,30% to less than 40%
Arkansas,313,Textile mills,2021,"3,376",0.0,955,0.0,205,0.0,25,0.0,15,0.0,26,0.0,417,0.0,D,D,D,D,102,0.0,60% to less than 70%,Less than 10%,40% to less than 50%
Arkansas,3132,Fabric mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Arkansas,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Arkansas,314,Textile product mills,2021,"313,451",3.0,"69,013",3.0,"17,183",4.5,"1,353",2.7,"1,166",5.7,"2,384",4.0,"57,669",8.7,"182,730",3.0,"133,014",3.0,"4,496",33.3,50% to less than 60%,30% to less than 40%,60% to less than 70%
