Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Alabama,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,190,555",4.0,"270,224",7.2,"66,898",9.9,"3,241",2.4,"1,842",2.8,"3,032",3.7,"109,429",10.8,"382,870",30.2,"829,910",21.9,"15,167",0.0,40% to less than 50%,50% to less than 60%,20% to less than 30%
Alabama,3391,Medical equipment and supplies manufacturing,2021,"754,058",24.0,"149,638",6.7,"36,629",7.1,"3,226",15.8,"2,327",8.2,"4,188",8.7,"105,195",7.5,"278,301",20.9,"486,956",25.9,"17,856",34.0,10% to less than 20%,10% to less than 20%,30% to less than 40%
Alaska,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,D,D,D,D,20 to 99 employees,D,20,0.0,D,D,D,D,D,D,D,D,D,D,D,D,D
Alaska,3391,Medical equipment and supplies manufacturing,2021,D,D,"6,272",29.9,D,D,100 to 249 employees,D,D,D,175,29.0,"4,148",31.8,D,D,D,D,D,D,D,20% to less than 30%,D
Arizona,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"2,393,445",3.8,"499,002",3.5,"121,412",3.6,"5,390",4.3,"1,646",4.8,"3,154",4.7,"105,967",3.8,"951,167",4.6,"1,459,876",3.1,"19,487",7.2,80% to less than 90%,60% to less than 70%,70% to less than 80%
Arizona,3391,Medical equipment and supplies manufacturing,2021,"3,524,555",0.4,"685,711",0.2,"168,282",0.5,"7,415",0.9,"4,056",1.2,"6,896",2.3,"186,744",0.3,"758,923",0.2,"2,777,480",0.4,"40,353",9.7,10% to less than 20%,Less than 10%,20% to less than 30%
Arkansas,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"695,506",0.0,"119,089",0.0,"29,667",0.0,"1,483",0.0,"1,426",0.0,"2,814",0.0,"114,512",0.0,"216,847",0.0,"491,065",0.0,D,D,90% to 100%,80% to less than 90%,80% to less than 90%
Arkansas,3391,Medical equipment and supplies manufacturing,2021,"217,515",6.5,"59,008",8.3,"15,368",8.6,"1,266",7.7,919,8.5,"1,640",6.8,"34,472",7.7,"76,218",3.4,"141,862",8.1,"6,655",12.5,40% to less than 50%,30% to less than 40%,40% to less than 50%
California,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"30,459,843",1.1,"7,399,592",0.8,"1,884,568",0.9,"70,051",1.0,"25,168",2.1,"48,663",2.3,"1,624,431",2.0,"11,282,186",1.4,"19,471,885",1.1,"1,200,263",9.5,60% to less than 70%,50% to less than 60%,60% to less than 70%
California,3391,Medical equipment and supplies manufacturing,2021,"17,405,399",0.7,"4,349,774",0.9,"1,100,871",1.1,"49,596",1.2,"27,336",1.4,"51,925",1.6,"1,323,792",1.4,"5,984,317",0.9,"11,428,866",0.8,"420,736",1.4,50% to less than 60%,20% to less than 30%,40% to less than 50%
Colorado,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"2,307,973",3.9,"638,165",3.7,"153,362",4.0,"6,291",5.7,"1,936",10.6,"3,807",6.6,"118,148",5.6,"606,259",10.3,"1,761,242",3.2,"56,660",5.3,20% to less than 30%,20% to less than 30%,30% to less than 40%
Colorado,3391,Medical equipment and supplies manufacturing,2021,"2,057,367",1.7,"256,225",2.4,"62,012",2.0,"3,716",2.5,"2,323",3.1,"4,519",3.2,"102,442",4.8,"546,317",4.2,"1,511,414",0.8,"24,431",0.0,60% to less than 70%,30% to less than 40%,60% to less than 70%
Connecticut,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"3,688,015",1.6,"729,383",3.7,"178,225",4.1,"8,070",6.3,"3,227",14.5,"6,053",15.5,"224,707",9.9,"1,197,165",3.6,"2,496,652",1.5,"86,531",2.7,40% to less than 50%,20% to less than 30%,40% to less than 50%
Connecticut,3391,Medical equipment and supplies manufacturing,2021,"1,319,940",6.8,"197,280",13.0,"50,270",12.3,"2,861",22.5,"2,132",21.2,"4,778",17.4,"108,419",18.0,"371,742",5.5,"947,896",7.2,"44,572",23.9,60% to less than 70%,40% to less than 50%,50% to less than 60%
Delaware,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"659,603",0.4,"146,529",0.1,"35,239",0.1,"1,333",0.1,489,0.1,713,0.1,"37,635",0.2,"175,410",0.3,"484,881",0.5,"9,036",0.1,10% to less than 20%,10% to less than 20%,20% to less than 30%
Delaware,3391,Medical equipment and supplies manufacturing,2021,D,D,"40,486",0.0,"10,237",0.0,620,0.0,D,D,708,0.0,D,D,D,D,D,D,D,D,D,90% to 100%,90% to 100%
District of Columbia,3391,Medical equipment and supplies manufacturing,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,0,X,D,D,D
Florida,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"7,006,671",1.6,"1,627,949",1.2,"398,158",1.4,"18,669",1.4,"7,535",3.0,"13,766",3.5,"369,814",5.6,"2,592,822",1.0,"4,422,436",2.2,"103,629",13.6,60% to less than 70%,50% to less than 60%,70% to less than 80%
Florida,3391,Medical equipment and supplies manufacturing,2021,"6,116,882",1.8,"1,162,879",3.0,"291,819",3.0,"16,333",3.2,"9,766",3.8,"18,913",3.7,"513,726",3.0,"2,173,360",1.6,"3,952,042",2.0,"377,521",30.0,40% to less than 50%,20% to less than 30%,50% to less than 60%
Georgia,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,246,983",1.8,"313,987",2.5,"84,398",2.0,"3,801",1.4,"1,635",2.8,"3,420",3.1,"90,541",2.7,"496,788",1.0,"758,002",3.2,"7,556",14.3,50% to less than 60%,30% to less than 40%,50% to less than 60%
Georgia,3391,Medical equipment and supplies manufacturing,2021,"1,490,868",2.3,"373,090",2.5,"88,444",2.1,"5,746",3.8,"4,323",4.2,"8,004",3.4,"240,124",2.5,"600,478",1.9,"883,022",2.7,"29,359",17.3,60% to less than 70%,10% to less than 20%,60% to less than 70%
Hawaii,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,D,D,D,D,20 to 99 employees,D,28,0.0,49,0.0,D,D,D,D,D,D,D,D,D,D,D
Hawaii,3391,Medical equipment and supplies manufacturing,2021,D,D,"7,330",0.0,"1,725",0.0,180,0.0,129,0.0,244,0.0,"5,255",0.0,D,D,D,D,39,0.0,D,80% to less than 90%,90% to 100%
Idaho,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"496,819",0.0,"57,543",0.0,"14,314",0.0,906,0.0,517,0.0,932,0.0,"23,967",0.0,"139,904",0.0,"353,894",0.0,"3,413",0.0,80% to less than 90%,10% to less than 20%,10% to less than 20%
Idaho,3391,Medical equipment and supplies manufacturing,2021,"72,395",25.6,"23,506",21.8,"5,950",28.6,588,22.6,503,26.5,851,39.0,"19,165",27.2,"18,403",25.8,"54,158",25.5,D,D,10% to less than 20%,Less than 10%,30% to less than 40%
Illinois,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"4,287,541",3.2,"754,187",5.6,"190,491",6.6,"8,431",6.4,"3,608",8.0,"7,281",8.0,"208,149",5.6,"1,836,303",2.4,"2,457,325",3.9,"62,698",0.6,30% to less than 40%,30% to less than 40%,50% to less than 60%
Illinois,3391,Medical equipment and supplies manufacturing,2021,"1,905,327",3.5,"385,388",4.8,"96,775",4.6,"6,793",6.5,"4,611",7.3,"8,531",7.5,"182,993",7.3,"609,182",3.3,"1,317,985",3.6,"33,359",21.9,70% to less than 80%,40% to less than 50%,70% to less than 80%
Indiana,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,417,033",3.2,"335,012",6.8,"80,636",7.0,"4,816",6.3,"2,771",6.6,"5,304",4.3,"129,941",6.5,"578,362",0.6,"831,036",5.4,"50,041",0.5,20% to less than 30%,20% to less than 30%,40% to less than 50%
Indiana,3391,Medical equipment and supplies manufacturing,2021,"6,533,598",1.5,"843,964",4.1,"208,862",3.7,"14,001",4.2,"10,200",4.4,"20,430",4.8,"502,452",4.4,"2,746,376",1.3,"3,824,602",1.8,"211,217",7.7,40% to less than 50%,30% to less than 40%,40% to less than 50%
Iowa,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"4,668,503",0.1,"1,078,142",0.1,"214,333",0.1,"10,394",0.1,"1,991",0.2,"3,659",0.4,D,D,"1,169,596",0.5,"3,573,611",0.2,D,D,20% to less than 30%,10% to less than 20%,10% to less than 20%
Iowa,3391,Medical equipment and supplies manufacturing,2021,"188,520",5.5,"52,873",6.4,"11,783",8.9,"1,069",9.2,678,20.1,"1,023",32.9,"24,768",16.3,"67,040",3.6,"120,977",7.0,"4,014 (s)",41.1,30% to less than 40%,10% to less than 20%,30% to less than 40%
Kansas,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"3,126,186",0.1,"580,327",0.1,"129,515",0.1,"5,759",0.2,"1,248",0.6,"2,507",0.6,"80,124",0.2,"1,584,960",0.1,D,D,D,D,20% to less than 30%,90% to 100%,90% to 100%
Kansas,3391,Medical equipment and supplies manufacturing,2021,"251,951",13.8,"67,020",13.7,"15,316",16.2,"1,259",15.7,924,14.4,"1,902",11.5,"42,000",19.6,D,D,"150,283",8.7,"3,084",24.4,10% to less than 20%,Less than 10%,10% to less than 20%
Kentucky,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"21,481",0.3,"5,061",1.9,359,14.0,176,7.1,353,10.0,"9,376",19.0,D,D,D,D,D,D,D,40% to less than 50%,50% to less than 60%
Kentucky,3391,Medical equipment and supplies manufacturing,2021,"296,558",33.1,"81,607",34.7,"20,359 (s)",49.4,"1,488",34.2,"1,109",35.8,"2,161",37.8,"44,320",39.7,"104,808",28.8,"200,213",36.8,"16,453 (s)",43.3,70% to less than 80%,Less than 10%,30% to less than 40%
Louisiana,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"276,628 (s)",56.3,"44,675",39.0,"14,912 (s)",51.8,661,33.5,439 (s),43.7,853 (s),49.0,"26,272 (s)",41.0,"128,759 (s)",73.1,"149,655 (s)",42.0,"8,223",37.7,10% to less than 20%,60% to less than 70%,30% to less than 40%
Louisiana,3391,Medical equipment and supplies manufacturing,2021,"44,486",22.7,"17,496",24.4,"4,351",25.1,336,31.8,316,22.5,564,22.1,"14,140",21.4,"15,704",4.2,D,D,"8,632 (s)",87.9,30% to less than 40%,Less than 10%,40% to less than 50%
Maine,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"87,360",0.0,"24,635",0.0,"1,145",0.0,743,0.0,"1,690",0.0,"49,210",0.0,"348,231",0.0,D,D,D,D,D,Less than 10%,10% to less than 20%
Maine,3391,Medical equipment and supplies manufacturing,2021,"48,550",0.0,"12,680",0.0,"3,312",0.0,260,0.0,185,0.0,323,0.0,"7,242",0.0,D,D,"30,979",0.0,212,0.0,70% to less than 80%,60% to less than 70%,90% to 100%
Maryland,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"6,314,438",0.4,"1,145,085",0.2,"292,613",0.3,"9,684",0.4,"2,329",0.6,"4,281",0.6,"210,958",0.3,"1,766,397",0.6,"4,587,675",0.3,"104,866",0.0,70% to less than 80%,70% to less than 80%,80% to less than 90%
