Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Alabama,3366,Ship and boat building,2021,"1,229,964",0.0,"301,513",0.0,"70,030",0.0,"4,949",0.0,"3,340",0.0,"6,161",0.0,"170,129",0.0,"637,952",0.0,"601,152",0.0,D,D,10% to less than 20%,20% to less than 30%,30% to less than 40%
Alaska,3366,Ship and boat building,2021,"47,451",0.0,D,D,D,D,225,0.0,196,0.0,280,0.0,"9,569",0.0,D,D,D,D,D,D,40% to less than 50%,D,60% to less than 70%
Arizona,3366,Ship and boat building,2021,"35,303",0.0,"6,410",0.0,"1,604",0.0,156,0.0,D,D,D,D,D,D,"21,133",0.0,D,D,D,D,80% to less than 90%,Less than 10%,90% to 100%
Arkansas,3366,Ship and boat building,2021,"524,110",16.8,"89,503",11.2,"24,287",8.7,"1,510",14.9,"1,289",14.9,"2,508",14.7,"71,428",10.3,"299,757",15.6,"235,642",18.5,"2,794",0.0,50% to less than 60%,70% to less than 80%,50% to less than 60%
California,3366,Ship and boat building,2021,"2,776,366",1.1,"636,037",1.8,"169,713",2.2,"9,196",1.6,"7,288",1.6,"14,411",1.7,"486,280",1.3,"1,515,739",0.9,"1,256,797",2.0,"75,743",0.2,20% to less than 30%,20% to less than 30%,20% to less than 30%
Colorado,3366,Ship and boat building,2021,D,D,D,D,D,D,100 to 249 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Connecticut,3366,Ship and boat building,2021,D,D,D,D,D,D,"10,000 to 24,999 employees",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Delaware,3366,Ship and boat building,2021,D,D,D,D,D,D,16,0.0,D,D,23,0.0,D,D,D,D,D,D,D,D,D,D,90% to 100%
Florida,3366,Ship and boat building,2021,"3,255,610",6.3,"645,232",5.7,"155,341",5.0,"11,967",4.9,"9,816",4.8,"18,523",5.8,"461,960",5.3,"1,720,352",5.3,"1,561,553",7.8,"99,012",9.3,30% to less than 40%,10% to less than 20%,40% to less than 50%
Georgia,3366,Ship and boat building,2021,D,D,"86,604",0.0,"21,372",0.0,"1,577",0.0,"1,315",0.0,"2,678",0.0,"63,585",0.0,D,D,D,D,"9,095",0.0,D,70% to less than 80%,70% to less than 80%
