Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used) (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Alabama,3364,Aerospace product and parts manufacturing,2021,"2,263,642",0.1,"414,199",0.1,"104,065",0.3,"5,668",0.1,"3,737",0.1,"6,994",0.2,"245,259",0.1,"837,175",0.2,"1,391,267",0.6,"106,172",0,60% to less than 70%,40% to less than 50%,30% to less than 40%
Alaska,3364,Aerospace product and parts manufacturing,2021,D,D,"2,625",0,659,0,42,0,27,0,37,0,"1,284",0,D,D,D,D,D,D,D,Less than 10%,70% to less than 80%
Arizona,3364,Aerospace product and parts manufacturing,2021,"13,949,075",0.5,"2,125,073",0.7,"540,538",0.9,"22,568",1.2,"9,666",2.5,"18,177",1.9,"643,976",2.4,"7,070,209",0.6,"7,137,043",0.5,"201,099",1.4,30% to less than 40%,60% to less than 70%,50% to less than 60%
Arkansas,3364,Aerospace product and parts manufacturing,2021,"2,636,734",1.1,"320,094",2.8,"75,385",5.2,"4,301",0.9,"2,964",0,"5,080",2.7,"178,705",1.9,"1,526,603",0.2,"1,121,925",2.8,"25,905",10,60% to less than 70%,60% to less than 70%,60% to less than 70%
California,3364,Aerospace product and parts manufacturing,2021,"26,532,382",0.6,"6,640,905",0.7,"1,389,348",0.9,"58,455",1.7,"29,435",3.3,"58,828",3,"2,392,915",1.7,"15,160,393",0.5,"11,436,092",1.3,"463,517",0.8,40% to less than 50%,20% to less than 30%,30% to less than 40%
Colorado,3364,Aerospace product and parts manufacturing,2021,D,D,D,D,D,D,"7,142",0,"5,540",0,D,D,D,D,D,D,D,D,D,D,D,D,90% to 100%
Connecticut,3364,Aerospace product and parts manufacturing,2021,"17,848,707",1.2,"3,322,167",1.5,"873,235",0.8,"31,366",2.1,"12,424",2.7,"23,191",2.5,"1,070,286",2,"5,869,640",4.4,"11,859,999",0.7,D,D,40% to less than 50%,40% to less than 50%,30% to less than 40%
Delaware,3364,Aerospace product and parts manufacturing,2021,D,D,D,D,D,D,100 to 249 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Florida,3364,Aerospace product and parts manufacturing,2021,"4,091,789",2.1,"1,070,721",1.8,"257,170",1.6,"11,341",1.3,"5,064",2,"9,546",2.5,"370,499",3.5,"2,064,731",2.5,"2,036,812",2.2,"74,399",3.4,50% to less than 60%,40% to less than 50%,50% to less than 60%
Georgia,3364,Aerospace product and parts manufacturing,2021,"12,878,945",0.2,"1,680,898",0.4,"407,661",0.4,"16,034",1.3,"9,768",2.1,"19,422",0.9,"771,346",1,"6,116,725",0.2,"6,320,941",0.3,"175,853",0,30% to less than 40%,30% to less than 40%,30% to less than 40%
Hawaii,3364,Aerospace product and parts manufacturing,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Idaho,3364,Aerospace product and parts manufacturing,2021,"123,285",0,"30,497",0,"7,421",0,551,0,377,0,624,0,"17,355",0,D,D,"62,893",0,"4,465",0,10% to less than 20%,Less than 10%,30% to less than 40%
Illinois,3364,Aerospace product and parts manufacturing,2021,"1,218,019",0.9,"299,823",1.6,"75,518",1.7,"3,544",1.9,"1,149",3.9,"2,226",5.9,"67,590",5.8,D,D,"699,720",1.1,"31,834",2,70% to less than 80%,Less than 10%,70% to less than 80%
