Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Alabama,3311,Iron and steel mills and ferroalloy manufacturing,2021,"15,219,988",0.0,"595,540",0.0,"144,312",0.0,"5,750",0.0,"4,149",0.0,"8,665",0.0,"417,330",0.0,"7,170,683",0.0,"8,706,375",0.0,D,D,10% to less than 20%,Less than 10%,20% to less than 30%
Arizona,3311,Iron and steel mills and ferroalloy manufacturing,2021,D,D,D,D,D,D,20 to 99 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Arkansas,3311,Iron and steel mills and ferroalloy manufacturing,2021,"9,980,845",0.0,"400,494",0.0,"100,551",0.0,"3,504",0.0,"2,770",0.0,"6,538",0.0,"307,983",0.0,"5,323,230",0.0,"5,052,863",0.0,D,D,Less than 10%,Less than 10%,Less than 10%
California,3311,Iron and steel mills and ferroalloy manufacturing,2021,"1,176,124",2.1,"77,905",0.4,"19,018",1.7,743,5.2,538,5.1,"1,088",3.0,D,D,"381,422",6.2,D,D,"8,385",17.7,Less than 10%,Less than 10%,Less than 10%
Colorado,3311,Iron and steel mills and ferroalloy manufacturing,2021,D,D,D,D,D,D,"1,000 to 2,499 employees",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Connecticut,3311,Iron and steel mills and ferroalloy manufacturing,2021,D,D,D,D,D,D,100 to 249 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Florida,3311,Iron and steel mills and ferroalloy manufacturing,2021,"478,074",0.0,"24,373",0.0,"6,095",0.0,265,0.0,193,0.0,399,0.0,"17,766",0.0,"317,020",0.0,D,D,D,D,90% to 100%,80% to less than 90%,90% to 100%
Georgia,3311,Iron and steel mills and ferroalloy manufacturing,2021,"721,662",0.0,"21,089",0.0,"4,907",0.0,239,0.0,D,D,372,0.0,D,D,D,D,D,D,D,D,80% to less than 90%,80% to less than 90%,80% to less than 90%
Illinois,3311,Iron and steel mills and ferroalloy manufacturing,2021,"5,032,261",2.0,"356,618",6.1,"101,225",7.9,"4,195",6.0,"3,561",4.3,"6,877",15.9,"277,414",4.2,"2,720,312",2.2,"2,405,705",0.8,"83,831",7.1,Less than 10%,Less than 10%,Less than 10%
Indiana,3311,Iron and steel mills and ferroalloy manufacturing,2021,"22,947,929",0.2,"1,454,844",0.1,"398,678",0.1,"14,146",0.2,"12,254",0.2,"26,830",0.1,"1,237,514",0.1,"11,569,548",0.3,"11,973,308",0.2,"430,203",0.0,Less than 10%,10% to less than 20%,10% to less than 20%
